id,h_grd
01003,0.7858
01009,0.8813
01015,0.9830
01021,0.7013
01031,0.8980
01043,0.8241
01045,0.8366
01049,0.9735
01051,0.8826
01055,0.7796
01059,0.7189
01069,0.8161
01071,0.8987
01073,0.9455
01077,0.7503
01081,0.9664
01083,0.9254
01089,0.9791
01095,0.8324
01097,0.8047
01101,0.7281
01103,0.8207
01113,0.9100
01115,0.9592
01117,0.9861
01125,0.8338
02020,1.0136
02090,1.0010
02122,1.0047
02170,0.9717
04001,1.1732
04003,1.0970
04005,1.0292
04007,0.9835
04009,1.1063
04011,0.8559
04012,1.0760
04013,1.0824
04015,1.0611
04017,0.9919
04019,1.0036
04021,1.0393
04023,1.1119
04025,1.0123
04027,1.0824
05003,0.7878
05007,0.9511
05011,0.9245
05015,0.8939
05019,0.9079
05031,0.8671
05033,1.0451
05045,0.8185
05051,0.8072
05057,0.9003
05061,0.8118
05063,0.9719
05071,0.9848
05085,0.8774
05093,0.8900
05113,0.7293
05115,0.8339
05119,0.9117
05125,0.9195
05131,0.9777
05133,0.8613
05139,0.9801
05143,0.9967
05145,0.9322
05149,0.7498
06001,0.9741
06005,1.0000
06007,1.0317
06009,1.1200
06011,1.0163
06013,0.9393
06015,0.9971
06017,1.0254
06019,0.9168
06021,1.0182
06023,1.0551
06025,1.0263
06027,1.1729
06029,0.9697
06031,1.0525
06033,0.9510
06035,0.9793
06037,0.9232
06039,0.8851
06041,0.9870
06045,1.0645
06047,0.9183
06051,1.0989
06053,1.0452
06055,0.9803
06057,1.0840
06059,0.9969
06061,1.0427
06065,0.9309
06067,0.9668
06069,1.0851
06071,0.9346
06073,0.9889
06075,0.9270
06077,1.0761
06079,1.0488
06081,0.9916
06083,1.0795
06085,0.9704
06087,1.1001
06089,1.0005
06093,1.0804
06095,0.9073
06097,1.0021
06099,0.9707
06101,1.0002
06103,0.9067
06107,0.9855
06109,0.9667
06111,0.9812
06113,1.0364
06115,0.8444
08001,0.8778
08005,0.9036
08013,0.9061
08031,1.0000
08035,0.9928
08037,0.8773
08041,0.8672
08045,0.8316
08059,0.8487
08069,0.8745
08077,0.9435
08085,0.9646
08087,0.9040
08089,0.7488
08101,0.7072
08123,0.8517
09001,0.9157
09003,0.9027
09005,0.8835
09007,0.9301
09009,0.8566
09011,0.9060
09013,1.0732
09015,0.8273
10001,0.8637
10003,0.8605
10005,0.9037
11001,0.9564
12005,0.8914
12011,0.8688
12015,0.8235
12017,0.8454
12019,0.8459
12021,0.9583
12023,0.7204
12027,0.6461
12031,0.7735
12033,0.6492
12035,0.9301
12039,0.7955
12043,0.8237
12049,0.5795
12051,0.6553
12053,0.8326
12055,0.8133
12057,0.8158
12061,0.7635
12069,0.8009
12071,0.8186
12073,0.8893
12075,0.8974
12081,0.8944
12083,0.7264
12085,0.8608
12086,0.8221
12087,0.8018
12089,0.8848
12093,0.8386
12095,0.8008
12097,0.8131
12099,0.8881
12101,0.9193
12103,0.8763
12105,0.8045
12107,0.7643
12109,0.9911
12111,0.8485
12113,0.7691
12115,0.9232
12117,0.7952
12119,0.8184
12121,0.8295
12127,0.7726
12131,0.9244
13001,0.9123
13003,0.8619
13013,0.9248
13015,0.8700
13017,0.9020
13021,0.8304
13029,0.9320
13031,1.0055
13039,0.9447
13043,0.9242
13045,0.8699
13047,0.9503
13051,0.8097
13055,1.0204
13057,0.9989
13059,0.8827
13063,0.9199
13067,0.9568
13069,0.8783
13071,0.8313
13073,0.9534
13075,0.9346
13077,0.9792
13087,0.7065
13089,0.7995
13097,0.9464
13103,1.0749
13109,0.9680
13113,1.0255
13115,0.9472
13117,1.0737
13121,0.8604
13123,1.1976
13127,0.9724
13129,0.9510
13131,0.8039
13135,0.9890
13137,1.0295
13139,0.9389
13151,0.9200
13153,0.9123
13157,0.9367
13161,0.9325
13179,0.8225
13183,0.7897
13185,0.9674
13187,0.9293
13195,0.9126
13213,0.8530
13215,0.9563
13217,0.9215
13219,0.9026
13223,0.9561
13225,0.9691
13233,0.9126
13241,0.8578
13245,0.8992
13247,0.9133
13255,0.8161
13261,0.8500
13267,0.9974
13277,0.8238
13279,0.8224
13285,0.9120
13295,0.8833
13297,0.9697
13299,0.9658
13305,0.9829
13313,0.8946
15003,0.9727
16001,1.0829
16005,1.0017
16011,0.8874
16013,1.1948
16019,1.0672
16027,0.9302
16031,0.9145
16039,1.0597
16043,0.9908
16045,1.0928
16047,0.9288
16051,0.9687
16053,0.9543
16055,1.1015
16063,1.1787
16067,0.9735
16073,0.9780
16075,0.8627
16077,0.9168
16081,0.9348
16083,0.9876
16087,0.8642
17007,1.0545
17011,0.8620
17017,1.0124
17019,0.8704
17031,1.1457
17037,1.0178
17041,0.9783
17043,1.0957
17063,0.9664
17073,1.0200
17075,0.9134
17077,0.8867
17089,1.0856
17091,0.9232
17093,1.0035
17095,0.8116
17097,1.0113
17099,0.9969
17111,1.1596
17113,0.8984
17115,0.8436
17119,0.9258
17141,0.9385
17143,0.9578
17161,0.9042
17163,1.0216
17167,0.9433
17177,0.7774
17179,0.8635
17183,0.9200
17187,0.9342
17195,0.8501
17197,1.1105
17201,1.0112
18001,0.9099
18003,0.9546
18005,1.1595
18011,1.0438
18017,1.0173
18019,0.8913
18023,0.9662
18027,0.8098
18035,0.9332
18037,1.0356
18039,1.1307
18053,1.0746
18057,1.0773
18063,1.0746
18067,0.9367
18071,0.7245
18073,0.9338
18081,1.0607
18085,1.0393
18087,0.9659
18089,0.9153
18091,0.8988
18095,1.0232
18097,0.9970
18099,0.9068
18105,1.1523
18107,1.1293
18113,1.0017
18127,0.9050
18141,0.9834
18145,1.1043
18157,0.9788
18163,0.9638
18167,0.8912
18181,0.9947
19005,0.8695
19013,1.1027
19021,0.9106
19033,0.9355
19039,1.0157
19045,0.7985
19047,1.0166
19049,1.0458
19057,0.7615
19061,0.9746
19069,0.9653
19103,1.0632
19113,0.9588
19115,0.9127
19127,0.9474
19139,0.8029
19153,0.9635
19155,0.9130
19163,0.9030
19167,0.8557
19169,1.0089
19171,0.9227
19179,0.9662
19181,1.0087
19183,1.0517
19187,0.8310
19193,0.9704
19197,0.9447
20009,1.0095
20015,0.9474
20035,0.9337
20037,0.9350
20045,0.9604
20055,0.8599
20057,0.7775
20061,0.7511
20067,0.9645
20069,0.9901
20079,0.7644
20081,0.9953
20091,0.9576
20093,0.8362
20103,1.0482
20111,0.8974
20125,0.8904
20155,0.9274
20159,0.6384
20161,0.9890
20169,0.9822
20173,0.8291
20175,0.8541
20177,0.9546
20189,0.5698
20209,0.8446
21015,0.8687
21017,0.8397
21047,0.7804
21059,0.8434
21067,0.8086
21073,0.7736
21083,0.7199
21093,0.9790
21111,0.8680
21117,0.9190
21151,0.8982
21185,1.0223
21209,0.8149
21211,0.7719
21227,0.9787
21239,0.8613
22005,1.1243
22015,1.0490
22017,0.9421
22019,0.8695
22033,0.8906
22045,0.9077
22051,0.7714
22055,0.9340
22057,1.0544
22063,0.9233
22071,0.9155
22073,0.8251
22075,0.9066
22079,0.8451
22087,0.8988
22089,1.0614
22101,0.7862
22103,0.9602
22105,0.8996
22109,0.8454
22111,1.0581
22115,1.0039
23005,1.0889
23031,0.9751
24003,0.7646
24005,0.7434
24009,0.8916
24011,0.9650
24013,1.0360
24015,0.9289
24017,0.9598
24021,0.9668
24025,1.0312
24027,0.9956
24031,0.8939
24033,0.7495
24037,0.8274
24041,0.9152
24043,0.9675
24045,0.8707
24047,0.7739
24510,0.6145
25001,0.8466
25003,0.8841
25005,0.8240
25009,0.8534
25011,0.7639
25013,0.7714
25015,0.9895
25017,0.9642
25021,0.9485
25023,0.9365
25025,0.9325
25027,0.8846
26005,0.9315
26015,0.9077
26017,0.9282
26021,1.0262
26023,1.1783
26025,1.0039
26027,1.0152
26037,0.9989
26045,1.0001
26049,0.9290
26055,1.0605
26057,0.8975
26065,0.8262
26067,1.0443
26075,0.9457
26077,1.0761
26081,0.9651
26087,0.9539
26091,1.0266
26093,1.0116
26099,1.0268
26105,0.8943
26111,1.0769
26115,1.0477
26117,0.9212
26121,0.9576
26123,0.9679
26125,1.0297
26127,1.0840
26139,1.0319
26145,0.9198
26147,1.0654
26149,1.0846
26157,0.9683
26159,0.9908
26161,1.0403
26163,1.0044
27003,0.9195
27013,1.0108
27019,1.0598
27027,0.9683
27037,0.9191
27039,0.8422
27047,0.8982
27049,1.0223
27053,1.0361
27067,1.1081
27079,0.9016
27083,1.0566
27085,0.9282
27099,0.9339
27105,0.9401
27109,0.8974
27111,0.9322
27119,0.8237
27123,0.9006
27129,0.8026
27131,0.9986
27137,0.9047
27139,1.0428
27141,1.0444
27143,0.8646
27145,1.0110
27147,0.8868
27153,0.9358
27163,1.0467
27165,0.9018
27171,1.0146
28033,0.9652
28047,0.9127
28059,0.9814
28067,0.9759
28081,1.1148
28089,0.8944
28115,1.0220
28121,0.9871
28123,0.8442
29009,1.0247
29019,0.9681
29021,0.8234
29037,0.9483
29043,1.0077
29047,0.8976
29051,0.7831
29069,0.7322
29077,0.9417
29095,0.9571
29097,0.9138
29099,0.9146
29101,1.0194
29109,0.9395
29119,0.9072
29145,0.8816
29159,0.9423
29165,0.9601
29169,0.9541
29183,1.0597
29189,0.9769
29195,1.0494
29213,1.0610
29510,1.0583
30013,0.9795
30029,0.9604
30031,1.0149
30063,0.9470
30111,0.9996
31001,1.1039
31013,1.0280
31019,0.9679
31037,0.9546
31043,1.2413
31047,1.2358
31053,1.1156
31055,0.9031
31079,1.0295
31109,0.9031
31111,0.8436
31119,0.9250
31141,0.9786
31151,1.1522
31153,1.1487
31157,0.9858
32001,1.0172
32003,0.9185
32005,1.0814
32007,1.0011
32013,0.9423
32015,0.9138
32019,1.0105
32023,1.0016
32031,1.0468
32510,1.0066
33011,0.8281
33015,0.8966
34001,1.0199
34003,0.9620
34005,1.0160
34007,1.0167
34009,1.0330
34011,1.0011
34013,0.9075
34015,1.0368
34017,0.9856
34019,1.0847
34021,1.0000
34023,0.8720
34025,1.0536
34027,1.0485
34029,0.9442
34031,0.9741
34033,0.9265
34035,1.0543
34037,1.0242
34039,0.9737
34041,0.9768
35001,0.9413
35005,0.8858
35006,1.0128
35007,0.8974
35009,0.9835
35013,0.9723
35015,0.8369
35017,0.7725
35019,1.0746
35023,0.9126
35025,0.9620
35027,0.9192
35028,1.0363
35029,0.9800
35031,0.9947
35033,0.9134
35035,0.9684
35037,0.9822
35039,0.8081
35041,0.8905
35043,0.9299
35045,0.9093
35047,0.8376
35049,0.9236
35051,1.1429
35053,0.8605
35055,0.9360
35057,0.9987
35061,0.9643
36001,0.7445
36007,0.8601
36013,0.8890
36027,0.8564
36029,0.8612
36045,0.8688
36055,0.7370
36057,0.8011
36059,0.7770
36061,0.8758
36063,0.9178
36065,0.7397
36067,0.8294
36069,0.8379
36071,0.9330
36073,0.8856
36079,0.9760
36083,0.9037
36087,0.8677
36091,1.0196
36093,0.7122
36103,0.9040
36105,0.7883
36111,0.8364
36117,0.8897
36119,0.8037
37001,0.9048
37003,0.7901
37013,0.8347
37017,0.8260
37019,0.8702
37021,0.9899
37023,0.9987
37025,0.9165
37027,0.9401
37031,0.9767
37035,0.9717
37037,0.9100
37045,0.8438
37047,0.9879
37049,0.9361
37051,0.8568
37055,0.9328
37057,0.9270
37059,1.0121
37061,0.8429
37063,0.8788
37065,0.8903
37067,0.8179
37069,0.9140
37071,0.9279
37077,0.9269
37079,0.8584
37081,0.8842
37085,0.9629
37087,0.9303
37089,1.0621
37093,0.9543
37097,0.9682
37099,1.0418
37101,0.9027
37105,0.8552
37107,0.8595
37109,1.0381
37111,0.9731
37113,1.0009
37119,0.9192
37123,0.8520
37125,1.0082
37127,0.7953
37129,0.9841
37133,0.7969
37135,0.9471
37139,0.7823
37141,0.9341
37145,0.8706
37147,1.0611
37151,0.9197
37153,1.0723
37155,0.8615
37157,0.9314
37159,0.8478
37161,0.8380
37163,0.9150
37167,1.0305
37169,1.0209
37171,0.9399
37179,0.9727
37181,0.9303
37183,0.9359
37189,1.0161
37191,0.9454
37193,0.9671
37195,0.8767
37197,1.0372
37199,0.9824
38017,0.9618
38035,0.9427
39003,0.9528
39007,0.9431
39017,0.9041
39023,0.9597
39025,1.0067
39035,0.8824
39039,0.9216
39041,1.0651
39043,0.9805
39045,0.8984
39049,1.0190
39051,0.9949
39057,0.9877
39061,0.8968
39063,0.8876
39069,0.9863
39077,0.9395
39085,0.8692
39089,0.9298
39093,0.9660
39095,0.8761
39099,0.8545
39101,0.8928
39103,0.8983
39113,1.0163
39123,1.0742
39137,0.8714
39143,0.8374
39151,0.9407
39153,0.9458
39155,0.9897
39165,1.0262
39173,0.9092
40001,0.8785
40007,0.8728
40009,0.9429
40011,0.9462
40013,0.8774
40015,0.9607
40017,1.0762
40019,0.8307
40021,0.9661
40027,0.9993
40031,0.8941
40037,1.0218
40039,0.9551
40041,0.9188
40047,0.9021
40049,1.0537
40051,1.0279
40065,1.0215
40071,0.9859
40073,0.9510
40079,0.9272
40083,1.2361
40085,1.0921
40087,1.0860
40089,0.9004
40095,1.0229
40101,0.9112
40109,0.8948
40115,0.9075
40119,1.1738
40121,0.9812
40123,0.9896
40125,0.9054
40131,0.9358
40135,0.8551
40137,1.0307
40139,0.9315
40141,0.9099
40143,0.8934
40147,0.9887
40153,0.8631
41003,1.1684
41005,1.0288
41007,1.0254
41009,1.1353
41011,1.0249
41013,1.1262
41017,1.0975
41019,1.0550
41027,1.2026
41029,1.1131
41031,1.1060
41033,1.0004
41035,1.0960
41039,1.0154
41041,1.0441
41043,1.0678
41045,0.9779
41047,1.1190
41049,0.9407
41051,1.0664
41053,1.1601
41057,1.0004
41059,1.1116
41065,1.1573
41067,0.9840
41071,1.0660
42001,1.1891
42003,0.9022
42011,0.7803
42017,0.9629
42025,0.8949
42029,1.0523
42041,0.9825
42043,0.8928
42045,0.8947
42049,0.8951
42055,1.0268
42069,0.7846
42071,0.9067
42075,0.8553
42077,0.7788
42079,0.7264
42081,0.8928
42089,0.8866
42091,0.9731
42095,0.8517
42097,0.9733
42101,0.8342
42103,0.7423
42107,0.7178
42125,0.9572
42129,0.9701
42133,0.8524
44003,0.9412
44005,1.0454
44007,0.8746
44009,0.9095
45003,0.9694
45007,0.9762
45013,0.9877
45015,0.9076
45019,0.9955
45021,1.0628
45025,0.9797
45035,0.9930
45041,0.9890
45043,0.9189
45045,0.9721
45047,0.9778
45051,1.0056
45053,1.0287
45055,1.0256
45057,1.0186
45059,1.0987
45063,1.0349
45071,1.0743
45073,1.1756
45077,0.9644
45079,0.9904
45081,1.0577
45083,1.0301
45085,0.8300
45091,1.1001
46099,1.0830
46103,1.0179
47001,1.0362
47003,1.0182
47009,1.1033
47011,1.0033
47031,1.0816
47033,1.1130
47037,1.1053
47043,1.0559
47063,1.2033
47065,1.0510
47089,1.1356
47093,1.0737
47105,1.1029
47107,1.1462
47113,0.7999
47117,1.1798
47119,0.8540
47123,0.9771
47125,1.0393
47141,0.9216
47147,1.0554
47149,1.0768
47155,0.9049
47157,1.0263
47163,1.0773
47165,1.0589
47177,1.1919
47179,1.2112
47187,1.2017
47189,1.2081
48001,1.0376
48003,0.9631
48005,1.1118
48007,0.9687
48013,0.9578
48015,1.0595
48017,0.9672
48019,1.0839
48021,0.9515
48025,0.8419
48027,1.0318
48029,0.9901
48031,0.9386
48035,1.2142
48037,0.9651
48039,0.9147
48041,0.9189
48043,0.9837
48047,1.1195
48049,0.8866
48051,1.0237
48053,0.9251
48055,0.8501
48057,0.8566
48061,0.9661
48063,1.0911
48069,0.9304
48071,1.0785
48073,0.9538
48075,0.9111
48079,1.0861
48083,1.0689
48085,1.1221
48089,0.9834
48091,0.9814
48093,0.8205
48097,1.0221
48099,1.0582
48103,0.8733
48105,0.9728
48107,1.1118
48109,0.9289
48111,0.8886
48113,0.9343
48115,1.0547
48117,0.8165
48121,1.0504
48123,0.9533
48127,0.7969
48131,1.0374
48133,1.0446
48135,0.8606
48137,0.8706
48139,1.0004
48141,0.9450
48143,1.0665
48145,1.0611
48147,1.0185
48149,1.0439
48153,1.0157
48157,1.0031
48159,1.1801
48161,1.0155
48163,1.0074
48165,0.9961
48167,0.9934
48169,0.8744
48171,0.9231
48175,1.0368
48177,1.0332
48179,0.9912
48181,0.9713
48183,0.9867
48185,0.9211
48187,1.0384
48189,0.9025
48195,1.1443
48199,1.0259
48201,0.9512
48203,0.9161
48209,1.0247
48211,1.0109
48213,0.9969
48215,0.9165
48217,1.0732
48219,0.9532
48221,0.9544
48223,0.9987
48225,1.1070
48227,1.0027
48229,1.0096
48231,1.0429
48233,1.1481
48239,1.0019
48241,0.9133
48245,0.9107
48247,0.8863
48249,0.8560
48251,1.0640
48253,1.0331
48255,0.9365
48257,1.0470
48259,1.1229
48265,0.9460
48271,1.1545
48273,0.8650
48277,1.0288
48279,0.9510
48281,1.1362
48283,1.0055
48285,0.9961
48287,1.0150
48289,1.0531
48291,1.0862
48293,1.0328
48295,0.9574
48297,0.8735
48299,0.9689
48303,0.9704
48305,1.0491
48307,1.1381
48309,0.9126
48313,1.1817
48317,0.9677
48321,0.9172
48323,1.0456
48325,1.0326
48329,1.0184
48331,1.0463
48335,1.0591
48337,1.0729
48339,0.9828
48341,1.0464
48347,1.1325
48349,0.9637
48353,0.8467
48355,0.9051
48357,0.9119
48361,0.9917
48363,1.1015
48365,1.2155
48367,1.1122
48369,1.0524
48371,1.0030
48373,0.9231
48375,0.9977
48377,0.9233
48381,0.9741
48383,0.9754
48389,0.9631
48391,1.1329
48395,1.0401
48397,1.0713
48399,0.9013
48401,1.1001
48407,1.0104
48409,0.9973
48411,1.2225
48413,1.0142
48415,1.0192
48419,1.0627
48421,1.0276
48423,0.9756
48425,0.9306
48427,0.8481
48429,1.1491
48435,1.1180
48437,1.0094
48439,1.0196
48441,0.9837
48445,1.1758
48449,0.8620
48451,0.8970
48453,0.9718
48455,1.0374
48459,1.0902
48461,0.9450
48463,0.9220
48465,0.8998
48467,1.0553
48469,0.8469
48471,0.8959
48473,0.9105
48475,0.9667
48477,0.9126
48479,0.9988
48481,0.9231
48485,1.0103
48487,1.0311
48489,0.9463
48491,1.0667
48493,1.1791
48495,1.0623
48497,1.0300
48499,1.0313
48501,1.1711
48503,1.0397
48505,0.9783
48507,1.0525
49003,1.0511
49005,0.8482
49007,0.9266
49011,1.0556
49021,0.8214
49027,1.0880
49035,0.9779
49039,0.9951
49043,1.0439
49045,0.9975
49047,0.9174
49049,1.0460
49051,0.9695
49053,1.2018
49057,1.0183
50007,1.0337
51001,0.8806
51013,0.8366
51015,0.9717
51041,0.8244
51047,0.8893
51059,0.7804
51061,0.8498
51085,0.7524
51087,0.8049
51089,0.8313
51095,0.8457
51107,0.9832
51149,0.8181
51153,0.8559
51161,0.9687
51171,0.9603
51177,0.9157
51179,0.9622
51199,0.7904
51510,0.7949
51540,0.9152
51550,0.9254
51630,1.0130
51650,1.0302
51660,0.7347
51683,0.8260
51685,0.9345
51700,0.8554
51710,0.7992
51740,0.7876
51760,0.6311
51770,0.8541
51800,0.8107
51810,0.9988
51840,0.7881
53001,1.3134
53005,1.0200
53007,1.0317
53009,1.1658
53011,1.1750
53015,1.0188
53017,1.0217
53021,1.2021
53025,1.0751
53027,0.9700
53029,0.9604
53033,1.1019
53035,1.0548
53041,1.0453
53045,1.1511
53047,1.0029
53053,1.0979
53057,1.1714
53061,1.1605
53063,1.0482
53067,1.0538
53071,1.0727
53073,1.1198
53077,1.0817
54003,0.9355
54037,0.8254
55009,0.8641
55019,1.0000
55021,1.0103
55025,1.0259
55027,0.9118
55035,0.9955
55039,1.0478
55055,1.0172
55059,0.9713
55063,0.9268
55071,1.0595
55073,0.9512
55079,1.0210
55081,0.9493
55087,1.0607
55089,0.9776
55097,0.8816
55101,0.8150
55105,0.9525
55109,1.0568
55111,0.9574
55117,0.8713
55121,1.1183
55127,1.0387
55131,0.9745
55133,1.0286
55135,0.9705
55137,1.0583
55139,1.0225
55141,0.9110
56001,0.9835
56005,0.9430
56007,1.0631
56013,1.0054
56021,0.9256
56025,0.8192
56037,1.0136
56039,1.1582
56041,1.0068
56043,0.8837
