id,wa_coh
01073,-0.1053
01081,-0.0422
01089,-0.1261
01097,-0.1056
01101,-0.0626
01117,-0.0249
02020,0.0387
02090,0.0557
02110,0.0320
02150,-0.0276
04003,-0.0232
04013,-0.0518
04015,0.0443
04019,-0.0524
04021,0.0207
04025,-0.0833
04027,-0.0797
05007,-0.1018
05119,-0.1156
05131,-0.0521
05143,0.0208
06001,-0.0618
06007,-0.0820
06013,0.0028
06017,0.0567
06019,-0.0701
06023,0.0811
06025,0.0941
06029,0.0122
06031,-0.0134
06037,0.0242
06039,0.1453
06041,0.0831
06047,-0.1056
06053,0.0586
06055,-0.0712
06059,0.0084
06061,-0.0318
06065,-0.0182
06067,-0.0358
06071,-0.0453
06073,0.0259
06075,-0.0007
06077,-0.0657
06079,-0.0631
06081,-0.0418
06083,0.1260
06085,0.0054
06087,-0.0010
06089,0.0373
06095,0.0024
06097,0.0624
06099,-0.0505
06101,-0.0289
06107,-0.0474
06111,0.0914
06113,0.0469
06115,-0.0332
09001,-0.0852
09003,-0.0879
09005,-0.0624
09007,-0.0764
09009,-0.0457
09011,0.0018
09013,-0.0649
09015,-0.0605
10001,-0.0422
10003,-0.0669
10005,-0.0052
11001,0.0176
12005,-0.0697
12011,-0.0499
12019,-0.0711
12021,-0.0307
12031,-0.0674
12033,-0.0028
12053,0.0038
12057,-0.0788
12069,-0.0429
12071,-0.0725
12073,-0.1262
12081,-0.0600
12086,0.0064
12095,-0.0638
12097,-0.0337
12099,-0.0690
12101,-0.0544
12103,-0.0523
12105,-0.0653
12109,-0.1228
12111,-0.0876
12113,-0.0663
12115,-0.1016
12117,-0.0777
12127,-0.0443
13013,-0.0051
13021,-0.0345
13051,-0.0389
13057,-0.0159
13063,-0.1248
13067,-0.0763
13073,0.0140
13077,-0.0459
13089,0.0279
13097,0.0328
13113,-0.0803
13117,-0.1319
13121,-0.0386
13135,-0.0351
13139,-0.0412
13151,-0.0535
13153,-0.0069
13157,-0.0479
13215,-0.0953
13245,0.0720
13247,0.0686
13313,-0.1058
15003,0.0269
16001,-0.0010
16027,0.0241
17019,-0.0923
17031,-0.0839
17043,-0.0533
17089,-0.1226
17093,-0.1587
17097,-0.1327
17111,-0.0882
17113,-0.0363
17119,-0.0602
17143,-0.0867
17161,0.1502
17163,-0.0550
17167,-0.0875
17197,-0.1157
17201,-0.0441
18003,-0.1408
18005,-0.0298
18057,-0.0359
18063,-0.0163
18081,-0.1085
18089,-0.0711
18097,-0.0607
18141,-0.1742
18157,0.0245
19013,0.2974
19049,-0.0994
19103,-0.0712
19113,0.0008
19153,0.0929
19163,-0.0909
19169,-0.1199
19193,-0.0648
20045,-0.1132
20091,-0.0760
20173,-0.0863
20177,-0.0593
20209,0.0991
21015,-0.0819
21067,0.0592
21093,0.0562
21111,-0.0282
21227,-0.0223
22015,-0.0359
22017,-0.1304
22019,-0.0402
22033,-0.0963
22045,-0.0157
22051,-0.1277
22055,-0.0957
22071,-0.0366
22103,-0.0353
23005,-0.0963
23031,-0.0342
24003,-0.0163
24005,0.0079
24009,0.0223
24013,-0.0418
24017,-0.0087
24021,-0.0945
24025,-0.0878
24027,-0.0522
24031,-0.0795
24033,-0.0289
24037,-0.0782
24043,-0.0592
24045,-0.0488
24510,0.0364
25001,-0.0095
25005,-0.0753
25009,-0.0856
25013,-0.0043
25015,-0.0027
25017,-0.0802
25021,-0.0702
25023,-0.0030
25025,-0.0486
25027,-0.1252
26021,-0.0364
26025,0.0040
26045,-0.1037
26049,-0.0755
26065,-0.0055
26077,-0.0386
26081,-0.0189
26093,-0.0214
26099,-0.0477
26111,-0.0548
26125,-0.0628
26139,-0.1112
26145,-0.0375
26161,0.0031
26163,-0.0614
27003,0.0044
27019,-0.0024
27037,-0.0634
27053,-0.0795
27105,-0.0441
27109,0.0424
27123,0.0401
27139,-0.0202
27141,-0.0317
27145,-0.0098
27163,-0.0414
27171,-0.0230
28033,-0.0688
28047,-0.0901
28059,-0.0475
28089,-0.0253
29019,0.0412
29047,-0.1292
29077,0.0190
29095,-0.0107
29097,0.0550
29099,-0.1131
29145,-0.0873
29165,0.0166
29169,-0.0054
29183,-0.0828
29189,-0.0838
29510,0.0178
30063,-0.0785
30111,0.0591
31055,0.1154
31109,0.0004
31153,-0.0335
32003,-0.0246
32031,0.0067
33011,-0.0785
33015,-0.0977
34001,-0.0522
34003,-0.0723
34005,-0.0925
34007,0.0111
34013,-0.0620
34015,-0.0863
34017,-0.1218
34019,0.0155
34021,-0.0464
34023,-0.0854
34025,-0.0271
34027,-0.0704
34029,-0.0514
34031,-0.0301
34035,-0.0679
34037,0.0135
34039,-0.0767
34041,-0.0381
35001,-0.0462
35013,-0.1063
35043,-0.1480
36001,-0.1192
36007,-0.0184
36027,-0.0764
36029,0.0383
36055,0.0088
36059,-0.0469
36061,-0.0199
36065,-0.0473
36067,0.0657
36071,-0.0484
36087,-0.0471
36093,-0.1045
36103,-0.0468
36119,-0.0662
37001,-0.0439
37021,-0.0185
37023,-0.0840
37025,-0.1509
37035,-0.0664
37049,-0.2383
37051,-0.0212
37057,-0.0902
37063,0.0592
37067,0.0544
37071,-0.0471
37081,-0.0905
37097,-0.1323
37119,-0.1100
37129,0.1012
37133,-0.1076
37147,-0.0997
37151,-0.0362
37179,-0.0919
37183,-0.0251
38017,0.1467
39017,-0.0747
39035,-0.0110
39041,-0.1283
39045,-0.0201
39049,0.0762
39057,0.1198
39061,0.0960
39085,-0.0801
39093,-0.0357
39095,-0.1105
39099,-0.1083
39103,0.0159
39113,-0.0351
39151,-0.0311
39153,0.1524
39165,0.0124
40017,-0.0197
40027,-0.0492
40031,0.0474
40047,0.0645
40109,-0.0161
40143,-0.0081
41003,-0.0733
41005,-0.0428
41029,-0.0624
41039,-0.0484
41047,0.0119
41051,0.0133
41067,-0.0872
42003,0.0009
42011,-0.0881
42017,-0.0536
42019,-0.0578
42027,-0.0474
42029,-0.0646
42041,-0.1136
42043,0.1229
42045,0.0276
42049,0.1054
42069,0.0759
42071,0.0398
42075,0.0284
42077,-0.0705
42079,-0.0280
42089,0.0144
42091,-0.0697
42095,-0.0247
42101,-0.0039
42129,-0.0544
42133,-0.1097
44003,-0.0547
44007,-0.0249
45007,-0.0792
45015,0.0557
45019,-0.0033
45035,-0.0231
45045,-0.0336
45051,-0.0794
45063,-0.0338
45079,0.0442
45083,0.0185
45091,-0.0584
46099,0.0582
47037,0.0090
47065,-0.0603
47093,-0.0165
47125,0.0445
47149,-0.0478
47157,-0.0488
47165,-0.0643
47187,0.0412
48027,-0.0137
48029,-0.0264
48039,-0.0675
48041,-0.0460
48061,-0.1466
48085,-0.0368
48091,-0.1125
48113,-0.0629
48121,-0.0383
48139,-0.0660
48141,-0.0142
48157,-0.0375
48167,-0.0205
48187,0.0641
48201,-0.0144
48215,-0.1254
48245,0.0206
48251,0.0240
48303,0.0122
48309,-0.0125
48339,-0.0781
48355,-0.1038
48375,-0.1130
48397,0.0163
48423,0.0601
48439,-0.0158
48441,0.0294
48453,0.0035
48485,-0.1274
48491,-0.0605
49005,0.0575
49011,0.0915
49035,0.1077
49049,0.0415
49053,0.0064
49057,0.0507
50007,0.1919
51013,-0.0561
51041,-0.0130
51059,-0.0695
51087,-0.0552
51107,-0.0875
51153,-0.0349
51161,-0.0618
51177,-0.0509
51179,-0.0281
51199,0.0314
51510,-0.0291
51540,0.0152
51550,-0.0477
51650,-0.0526
51700,-0.0230
51710,-0.0562
51810,-0.0342
53011,0.0766
53033,-0.0271
53035,-0.0168
53053,0.0603
53061,-0.0446
53063,0.2454
53067,-0.0179
53073,0.0098
54039,0.0293
54061,-0.0195
55009,-0.0319
55025,-0.0595
55033,0.0223
55035,-0.0713
55059,-0.0724
55063,-0.0452
55071,-0.0608
55073,-0.0929
55079,-0.0065
55087,-0.0153
55089,-0.0307
55097,-0.0542
55101,-0.1170
55105,-0.0320
55109,-0.1318
55117,-0.0722
55131,-0.0802
55133,-0.1343
55139,0.0014
55141,-0.2131
